Time,Channel A
(s),(V)

213.13343973,0.01934873
213.20010643,0.01831111
213.26677313,0.01678518
213.33343983,0.01574755
213.40010653,0.01715140
213.46677323,0.01495407
213.53343993,0.01196326
213.60010663,0.01654103
213.66677333,0.01825007
213.73344003,0.01165807
213.80010673,0.01672414
213.86677343,0.01641896
213.93344013,0.01263466
214.00010683,0.01452681
214.06677353,0.01635792
214.13344023,0.01263466
214.20010693,0.01330607
214.26677363,0.01263466
214.33344033,0.00970489
214.40010703,0.01080355
214.46677373,0.01318400
214.53344043,0.00292978
214.60010713,0.00952178
214.66677383,0.01104770
214.73344053,0.00555437
214.80010723,0.00799585
214.86677393,0.00787378
214.93344063,0.00439467
215.00010733,0.00610370
215.06677403,0.00744652
215.13344073,0.00341807
215.20010743,0.00402844
215.26677413,0.00482192
215.33344083,0.00012207
215.40010753,0.00158696
215.46677423,0.00323496
215.53344093,-0.00012207
215.60010763,-0.00280770
215.66677433,0.00183111
215.73344103,-0.00177007
215.80010772,-0.00323496
215.86677442,-0.00067141
215.93344112,-0.00329600
216.00010782,-0.00427259
216.06677452,-0.00366222
216.13344122,-0.00665304
216.20010792,-0.00878933
216.26677462,-0.00701926
216.33344132,-0.00842311
216.40010802,-0.01019318
216.46677472,-0.00708029
216.53344142,-0.01001007
216.60010812,-0.01208533
216.66677482,-0.00970489
216.73344152,-0.01098666
216.80010822,-0.00939970
216.86677492,-0.01123081
216.93344162,-0.01074252
217.00010832,-0.01550340
217.06677502,-0.01080355
217.13344172,-0.01470992
217.20010842,-0.01678518
217.26677512,-0.01135289
217.33344182,-0.01684622
217.40010852,-0.01684622
217.46677522,-0.01361126
217.53344192,-0.01580859
217.60010862,-0.01751762
217.66677532,-0.01641896
217.73344202,-0.01702933
217.80010872,-0.02008118
217.86677542,-0.01544237
217.93344212,-0.01886044
218.00010882,-0.02233955
218.06677552,-0.01910459
218.13344222,-0.01696829
218.20010892,-0.01873836
218.26677562,-0.01953185
218.33344232,-0.02185125
218.40010902,-0.02258370
218.46677572,-0.02130192
218.53344242,-0.02179022
218.60010912,-0.02185125
218.66677582,-0.01727348
218.73344252,-0.01739555
218.80010922,-0.02093570
